TimeStep,Iteration,Time,T_Node_0,T_Node_1,T_Node_2,T_Node_3,T_Node_4,T_Node_5,T_Node_6,T_Node_7,T_Node_8,T_Node_9,T_Node_10,T_Node_11,T_Node_12,T_Node_13,T_Node_14,T_Node_15,T_Node_16,T_Node_17,T_Node_18,T_Node_19
7375,0,386.2392857142857,324.9340089635486,324.8024080616465,324.6719986384886,324.54358443002536,324.41795762868895,324.2958939618094,324.17814785288607,324.06544769722115,323.9584912831532,323.857941389612,323.764421589942,323.67851229091616,323.6007470345726,323.5316090889651,323.4715283521297,323.420878591541,323.3799750390845,323.34907235911896,323.32836300456495,323.3179759731693
7376,0,386.2916571428571,324.9340597071903,324.8025600192143,324.6722509142441,324.54393551018177,324.4184053895786,324.2964356818677,324.17878022840705,324.0661668618134,323.9592928308006,323.8588204012149,323.7653726631911,323.67952957332477,323.60182425946914,323.5327396142244,323.4727052013991,323.4220944976971,323.38122248963896,323.35034364327333,323.3296502616033,323.31927124186313
7377,0,386.34402857142857,324.93411041190006,324.8027118601659,324.67250299635464,324.5442863207945,324.418852806625,324.29697698584295,324.1794121181145,324.06688547380713,323.9600937624285,323.8596987371403,323.766323005244,323.68054607350916,323.60290065592807,323.53386926994136,323.473881145392,323.42330946844163,323.3824689804385,323.35161394927735,323.3309365281616,323.32056551389223
7378,0,386.39639999999997,324.9341610777077,324.80286358459034,324.6727548849683,324.54463686206986,324.4192998800912,324.2975178740535,324.18004352238063,324.0676035336258,323.9608940785091,323.8605763979062,323.76727261666133,323.68156179206943,323.6039762245852,323.5349980567835,323.47505618480363,323.424523504493,323.3837145122204,323.35288327788237,323.3322218050008,323.32185879002225
7379,0,386.44877142857143,324.93421170464285,324.8030151925766,324.67300658023305,324.5449871342138,324.41974661024005,324.2980583468177,324.180674441577,324.0683210416924,323.9616937795141,323.8614533840301,323.76822149800364,323.6825767296052,323.60505096607585,323.53612597541775,323.4762303203284,323.425736606569,323.3849590857212,323.3541516298393,323.3335060928812,323.32315107101834
7380,0,386.50114285714284,324.9342622927353,324.8031666842138,324.6732580822967,324.5453371374321,324.4201929973343,324.2985984044535,324.1813048760753,324.0690379984296,323.9624928659149,323.86232969602935,323.7691696498307,323.6835908867158,323.60612488103476,323.5372530265106,323.4774035526604,323.4269487753869,323.386202701677,323.3554190058983,323.3347893925626,323.324442357645
7381,0,386.55351428571424,324.93431284201466,324.8033180595907,324.6735093913069,324.54568687193057,324.4206390416365,324.2991380472787,324.18193482624656,324.06975440425987,323.9632913381825,323.8632053344208,323.7701170727021,323.684604264,323.6071979700962,323.538379210728,323.47857588249315,323.4281600116634,323.3874453608232,323.35668540680905,323.3360717048041,323.3257326506663
7382,0,386.6058857142857,324.93436335251056,324.80346931879626,324.6737605074112,324.54603633791464,324.42108474340887,324.29967727561086,324.1825642924618,324.0704702596052,323.96408919678765,323.8640802997209,323.7710637671769,323.68561686205595,323.6082702338941,323.5395045287354,323.47974731051954,323.4293703161146,323.3886870638948,323.3579508333206,323.33735303036434,323.32702195084545
7383,0,386.6582571428571,324.93441382425266,324.8036204619192,324.6740114307572,324.54638553558965,324.4215301029135,324.3002160897672,324.1831932750915,324.07118556488734,323.9648864422006,323.8649545924457,323.7720097338138,323.6866286814816,323.60934167306164,323.54062898119776,323.480917837432,323.43057968945624,323.3899278116261,323.35921528618155,323.33863337000133,323.3283102589453
7384,0,386.7106285714286,324.9344642572706,324.80377148904824,324.67426216149227,324.54673446516085,324.4219751204123,324.3007544900649,324.1838217745061,324.0719003205277,323.9656830748914,323.86582821311083,323.77295497317095,323.6876397228742,323.6104122882318,323.5417525687795,323.4820874639225,323.43178813240326,323.3911676047508,323.3604787661398,323.3399127244725,323.32959757572803
